,id,example,lables,label
1201270352258699264_twitter,1201270352258699264_twitter,if you defend derek carr after today you ’ re a fucking faggot suspend me i don ’ t care do me a favor and suspend me from this bullshit,"['hatespeech', 'offensive']",offensive
16080024_gab,16080024_gab,see observe this is a gaslight even though you lost goyim niggers are still your best friends,"['hatespeech', 'offensive']",offensive
1179092780162932737_twitter,1179092780162932737_twitter,<user> lets go work out there with the white bitches,"['normal', 'offensive']",normal
1179008305353691137_twitter,1179008305353691137_twitter,<user> <user> there are many other muslim country why everything should be on saudi head,['normal'],normal
1175093_gab,1175093_gab,so since this is my 6 6 6 th post i thought i d mention that the name baphomet the devil some worship comes from old french for mohammad coincidence or did the french know that the muzzies were demons on earth speakfreely draintheswamp maga,"['hatespeech', 'normal']",hatespeech
1144372754134818816_twitter,1144372754134818816_twitter,<user> pass the funding you ’ re hurting the poor illegal aliens,"['normal', 'offensive']",offensive
1178823426938724353_twitter,1178823426938724353_twitter,<user> you blasted a kid for saying what amounts to it okay to be white and you routinely and proudly provide support to antifa a communist domestic terrorist organization you are a fraud and a grifter will,['normal'],normal
19223314_gab,19223314_gab,a lot of faggots out tonight fuck it like a shitskin pride march,['hatespeech'],hatespeech
1097699952699027456_twitter,1097699952699027456_twitter,disrespect islamic n its teachings,"['normal', 'offensive']",normal
1126231936345702401_twitter,1126231936345702401_twitter,lemme go watch dany be a stupid bitch yet again on got,['offensive'],offensive
5369354_gab,5369354_gab,justintrudeau your another fool take in the muslim immigrants they will take over canada kill you your family they despise you read their history sharia law sex with animals child brides marryoff one of your girls justin,['offensive'],offensive
17173119_gab,17173119_gab,a muslim will say to you ignorant kaffir that he is a liberal a secular and all the taqiya bullshit all you need to say to the shiite muslim to agree that mo was paedophile and a killer he will reveal his true self,['hatespeech'],hatespeech
27088597_gab,27088597_gab,so it is her fault actually what happened is that she got off of a train and walked by some nigger words france a couple of years ago,['hatespeech'],hatespeech
1097529240327778310_twitter,1097529240327778310_twitter,spss is a fucking joke,"['normal', 'offensive']",offensive
21544906_gab,21544906_gab,michelle obama fluent in ghetto,"['hatespeech', 'offensive']",offensive
14535850_gab,14535850_gab,or just wait until you have been busted with a car full of teenage boys and alcohol and you are already the county second most famous homosexual pervert oh lookee here i just found a get out of jail free card,"['normal', 'offensive']",offensive
1178639561502707713_twitter,1178639561502707713_twitter,this happens a lot in the makeup beauty community gay men think that the women who have a problem with drag queens or with gay men using misogynistic slurs etc all must be str8 girls who do not know how the lgbt community works guess what dykes hate you too,['normal'],normal
11861652_gab,11861652_gab,everything about black american behavior makes sense when you realize it a subconscious racial recollection of behaviors that evolved far longer in their ancestral homeland of africa the saggy pants of ghetto blacks mimic the open air asses of tribal africans,"['hatespeech', 'normal', 'offensive']",normal
16674188_gab,16674188_gab,it all racist it was all discovered by white people whites and asians tend to do well in it its a highly advanced system of greek and european origin its all raciss n shit or maybe whites and asians are just smarter maybe privilege has nothing to do with it,"['hatespeech', 'normal']",normal
24017229_gab,24017229_gab,you are defending this dumb shit for creating the illusion that i should somehow care because i was raised mormon or that i am a kike because i was born into a mormon family oblige me with that retard level logic and just add to the dumpster fire,"['normal', 'offensive']",offensive
8479519_gab,8479519_gab,as usual she opens that retarded mouth of hers and i would say insert foot but we all know that each fatzilla foot of hers weighs about <number> pounds,"['normal', 'offensive']",offensive
1178980931408973825_twitter,1178980931408973825_twitter,can you be a student and a hoe at the same time,"['normal', 'offensive']",offensive
1185758702483234817_twitter,1185758702483234817_twitter,aural werewolves of hapiness a traditional black metal band,['normal'],normal
18628194_gab,18628194_gab,the difference between hetero and homo couples part i,['normal'],normal
25277773_gab,25277773_gab,lololol do not comment above your paygrade kike,['hatespeech'],hatespeech
1217648591403020289_twitter,1217648591403020289_twitter,i ’ m tryna get drunk and this negro playing w my emotions,['offensive'],offensive
20363000_gab,20363000_gab,there is no epidemic of gun violence in america quite the opposite in fact but last week shooting at a high school in florida was a grim and jarring reminder of deep cultural problems lurking just beneath the veneer of our materially comfortable society,['normal'],normal
4746287_gab,4746287_gab,my grammar nazi mate has recently become a born again christian now all he talks about is jesus and his twelve apostrophes,"['normal', 'offensive']",normal
1104770995611680769_twitter,1104770995611680769_twitter,<user> add ironic as the fake judge is a first generation lebanese american her parents were lebanese immigrants,['normal'],normal
1088890307884838918_twitter,1088890307884838918_twitter,i raped david cameron because it sneezed at me on minecraft,['normal'],normal
19156228_gab,19156228_gab,they also apologized to best korea for ever doubting that midget asians could win against can notada,"['normal', 'offensive']",offensive
1184521852556845056_twitter,1184521852556845056_twitter,<user> critics say that sand sold by trans black lesbians tastes better than pizza made by cis straight white men,['offensive'],offensive
1179081029832888322_twitter,1179081029832888322_twitter,once the titanium white dominus is released its over for you hoes,['normal'],normal
12937490_gab,12937490_gab,i like how they have to specifically say non hispanic in white categories on graphs because the kikes will lump anyone in with us to make our numbers worse,"['hatespeech', 'offensive']",hatespeech
1174002223556243457_twitter,1174002223556243457_twitter,alot of you hoes is tasha,['offensive'],offensive
19754294_gab,19754294_gab,this is another one of the kike ploys there is a world wide conspiracy to destroy the white race it is led by the kikes and acted out by their pet niggers sand niggers and other non whites,"['hatespeech', 'offensive']",hatespeech
1103830041249697792_twitter,1103830041249697792_twitter,slap the bitch in the fave with them hoes,['offensive'],offensive
10039905_gab,10039905_gab,evo1014 days ago edited here in san francisco the roma women sit their children on the sidewalk with signs begging for cash too bad cps are too busy fucking over hard working americans to bother with these people the roma culture is built upon thieving,"['hatespeech', 'normal', 'offensive']",hatespeech
16865856_gab,16865856_gab,seriously though it basically impossible for men and women to give friendly hugs and not occasionally bump into boobs and butts oh the hug was going great but then you let your arm drop too soon and your hand briefly grazed her right butt cheek and now you are fired sad,"['normal', 'offensive']",offensive
1178510237520805888_twitter,1178510237520805888_twitter,faggot ass cowgirls yall aint poppin shit round here,"['hatespeech', 'offensive']",offensive
8181944_gab,8181944_gab,any country that has no go zones where citizens are warned to stay out of because of constant immigrant and refugee violence is no longer a country,"['normal', 'offensive']",offensive
1248696347957645315_twitter,1248696347957645315_twitter,wow im gay,['normal'],normal
18231995_gab,18231995_gab,what do you expect from a liberal nigger who rose to his political position from being the mayor of a shithole city newark new jersey looks like mogadishu and that was his last job,['hatespeech'],hatespeech
1106397055977689088_twitter,1106397055977689088_twitter,unpopular opinion the nazis were probably the best cult ever,"['hatespeech', 'normal']",hatespeech
21605385_gab,21605385_gab,also benefits outed taxpayers money being spent on these inbreed moslem shite depleting monies available for nationals of this country and every country they inbreed in,"['hatespeech', 'normal']",hatespeech
15989475_gab,15989475_gab,vox believes kristol foreign policy goals will always take precedence and he will move the goalposts as suits him vox is a dumpster fire but they got this part right other lefty kikes like tomasky see trump as an existential threat to kike hegemony and do not care about the details,"['hatespeech', 'offensive']",hatespeech
1090991595476959232_twitter,1090991595476959232_twitter,<user> sounds swell but we will need immigrants to compete,"['normal', 'offensive']",normal
12132345_gab,12132345_gab,the average retard is only <number> retarded 🤤,['offensive'],offensive
10550171_gab,10550171_gab,i have had way too much experience with diversity hires most have made <number> to <number> times what i do have had comical english served no purpose other than to take a job from an american i am talking chinese women here not blacks,"['hatespeech', 'offensive']",hatespeech
1249101299594883074_twitter,1249101299594883074_twitter,<user> do i look retarded,['offensive'],offensive
1179083904269115392_twitter,1179083904269115392_twitter,the jews help other jews the asians help other asians and white supremacy has wealth frozen in their community is america was built for whites not blacks so blacks should help other blacks,['normal'],normal
20043793_gab,20043793_gab,question do greeks know how to tie nooses because i have yet to hear anything about niggers or sand niggers rapefugees getting lynched 😂,"['hatespeech', 'offensive']",hatespeech
2922054_gab,2922054_gab,<user> <number> <number> but they are not coming from a place of constructive criticism they are complaining about how boys have pockets they do not which is absolutely retarded i actually design clothing for a living so i will tell you why women pants pockets are so shitty <number> women just do not,"['normal', 'offensive']",offensive
13545133_gab,13545133_gab,not as hard as it must be for you a basic bitch libertarian desperately cuckposting retarded memes to your internet black friend to prove you are not racist,"['normal', 'offensive']",offensive
1179074995479289856_twitter,1179074995479289856_twitter,bitch b on dicks,['offensive'],offensive
12694921_gab,12694921_gab,chrisf206 chrisf206 <number> hours ago watch some episodes of cops and tell me blacks are being singled out for no reason ghetto blacks are fuck ups plain and simple ﻿,"['hatespeech', 'offensive']",offensive
1185318971651821568_twitter,1185318971651821568_twitter,shout out to my niggers who cant tell the difference between austria and australia,['normal'],normal
1178674168956633089_twitter,1178674168956633089_twitter,im here queer muslim and tired,['normal'],normal
1082829400196825088_twitter,1082829400196825088_twitter,wiggins elbowed that nigga in the air and knocked him out instantly,['normal'],normal
1179078468908269569_twitter,1179078468908269569_twitter,sorry i am tweeting random shit i am just bored and i am waiting on the floor bc once again i can not stand you all niggers,['normal'],normal
6453946_gab,6453946_gab,the reason jews shitlibs faggots hate attack christians while defending muslims is because they know the christians will never fight back while the sand niggers will throw their skinny jeaned asses off roofs cut their fucking knit capped heads off,['hatespeech'],hatespeech
17711892_gab,17711892_gab,lol kike,['hatespeech'],hatespeech
25401380_gab,25401380_gab,it used to be associating with jews meant you had a good accountant or doctor and an extra dinner party to mark on the calendar now it means fbi raids bdsm perversion soiled potted plants and deep state coup attempts how the chosen have fallen,"['normal', 'offensive']",normal
1179040165999726592_twitter,1179040165999726592_twitter,fuck police and if you support them fuck you too,"['normal', 'offensive']",normal
1179024171197751296_twitter,1179024171197751296_twitter,<user> <user> <user> <user> <user> white male who claims white racism is still a big problem makes his point by attacking black immigrant,['normal'],normal
16387710_gab,16387710_gab,judging by your retarded limey accent i highly doubt your ass has any say regarding american policies and considering i am an american citizen you are gona have a hard time making a case against me old sport,"['hatespeech', 'normal', 'offensive']",normal
1143376745367781383_twitter,1143376745367781383_twitter,i just need a new life i can ’ t associate with you ghetto hoes,['offensive'],offensive
1076393735636758528_twitter,1076393735636758528_twitter,finstas are gay,"['normal', 'offensive']",offensive
1254981088868315137_twitter,1254981088868315137_twitter,<user> <user> siss why you posting retardi b did she sure you,"['normal', 'offensive']",normal
1231756569085435904_twitter,1231756569085435904_twitter,<user> justice for josh ryen the ryen family chris hughes and the women who were raped by cooper,['normal'],normal
1237862838208581636_twitter,1237862838208581636_twitter,<user> one of my takeaways from islam <number>,['normal'],normal
1178997187629342721_twitter,1178997187629342721_twitter,<user> if it were justified in your home a cop breaks in and tries to rape someone and the pig is killed the victim would get the max for premeditated murder guarantee it,"['hatespeech', 'normal']",normal
15332117_gab,15332117_gab,<user> hey jewie u still suckin jew cock in your twitter son,['hatespeech'],hatespeech
13160999_gab,13160999_gab,millions of conservatives already banned on twatter the mudslime owners do not want a repeat of truth dissemination for <number>,"['hatespeech', 'offensive']",hatespeech
11800714_gab,11800714_gab,<user> just told me he gained so much weight lately because of all of the nigger cum he been swallowing tmi vox i replied,"['hatespeech', 'offensive']",offensive
1178980143982772224_twitter,1178980143982772224_twitter,<user> <user> why does a bangladeshi who comes from a muslim country need to be a refugee in a hindu country leaving muslim country behind try to find the answer if you can not that your answer,['normal'],normal
7547439_gab,7547439_gab,during the 4 0 quota of immigrants were established expanding into the 5 0 every <number> years until the internal security act required aliens to report their addresses the immigration nationality act in <number> tightened screening restriction preferences <number> skilled workers that excluded communists,['normal'],normal
10648794_gab,10648794_gab,maga something has to be done about that scumbag special prosecutor mueller who is currently succeeding in trying to hurt president trump every day metastasizing inside the white house like mccain brain tumor,['offensive'],offensive
1178888618460491776_twitter,1178888618460491776_twitter,<user> fuck these niggers up,['hatespeech'],hatespeech
1266982441941471232_twitter,1266982441941471232_twitter,we need to take on police unions they protect these nazis in blue uniforms we see out there terrorizing people,['offensive'],offensive
26522154_gab,26522154_gab,nigger jokes are more played out than groyper avis keep using it it has no effect meanwhile all you do is whine and bitch way to save the west bitching on gab my dude,"['hatespeech', 'offensive']",hatespeech
1178902421625610240_twitter,1178902421625610240_twitter,remember how we talked about people who tweet in all caps too often are fucking insane and sound dumb as shit well we have one of them in the white house tweeting like that,['normal'],normal
24921934_gab,24921934_gab,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot,['hatespeech'],hatespeech
1084340331099971584_twitter,1084340331099971584_twitter,kick the doors off cut the tires up burn that bitch,['offensive'],offensive
1178095524781727744_twitter,1178095524781727744_twitter,your buddy is a faggot and a moslem,"['hatespeech', 'offensive']",hatespeech
19112105_gab,19112105_gab,they will pay to have the holocaust industry accuse them of atrocities just like takes place in poland,"['normal', 'offensive']",normal
1178881335169081344_twitter,1178881335169081344_twitter,i fucking hate gemini 😂 that it that the tweet,['normal'],normal
14567516_gab,14567516_gab,nogs jews and dykes how enriching,"['hatespeech', 'offensive']",offensive
22617147_gab,22617147_gab,but you are okay with people like roosh who a raghead and a rapist,"['hatespeech', 'normal', 'offensive']",normal
1166008203118862336_twitter,1166008203118862336_twitter,<user> listen to i know places not even thinking about taylor just listen to it and its just so gay,"['normal', 'offensive']",normal
1087465221797470208_twitter,1087465221797470208_twitter,i love retarded people no cap,"['normal', 'offensive']",normal
19806318_gab,19806318_gab,yawn look the book up boomer kike it written by a kike like you you know a degenerate coward yid <happy>,['hatespeech'],hatespeech
20906157_gab,20906157_gab,i think it is because you are full of shit and refuse to budge on the kike narrative that you have been brainwashed to believe is the only way forward,['hatespeech'],hatespeech
15886416_gab,15886416_gab,a nigger and a white,"['hatespeech', 'normal']",hatespeech
15868359_gab,15868359_gab,i want roy moore to win even if it only to hear all the kikes commie faggot scum screaming about inbred misogynistic toothless alabama hillbilly white trash,['hatespeech'],hatespeech
4754245_gab,4754245_gab,the ultimate authority on who is white who is not <url>,['normal'],normal
16617631_gab,16617631_gab,lol well they apparently do not like asians as a minority i guess,['normal'],normal
21071837_gab,21071837_gab,forgot to add all to the tune of ymca it down to the local mosque for a meal with the moslem masters cos it all about diversity multicul love not catching criminals cos that would make them a police force and a going home gift is the new police manual how sweet,['normal'],normal
1178880742107095040_twitter,1178880742107095040_twitter,yeah i do not really see the humor in this whole civil war signup trend especially when white supremacists are walking into black churches mosques synagogues and walmarts where they know immigrants shop at with aks,['normal'],normal
16591657_gab,16591657_gab,the same in every white country,"['hatespeech', 'normal']",normal
1246212346890072064_twitter,1246212346890072064_twitter,a guy who ’ been homophobic to me did not just put a picture of flower boy on his story 😭 😭 these boys need to figure their shit out,['normal'],normal
1179086548907610113_twitter,1179086548907610113_twitter,<user> i am trynna make it a non gay offensive slur lol i only call non gays faggots you a faggot if you got some bitchassness in you feel me,"['hatespeech', 'offensive']",offensive
26251820_gab,26251820_gab,note how all the blacks africans wetbacks goatfuckers and queers want to endlessly bitch and cry about how oppressed they are in our white supremacist countries but they never want to leave why is that i wonder showthemthedoor deportthemall,"['hatespeech', 'offensive']",hatespeech
1178973361055162368_twitter,1178973361055162368_twitter,<user> even after it happened they still denied them visas deviated runner boats to refugee camps outside palestine they may not have known but they did absolutely nothing to help the jews before during after,['normal'],normal
1185012057663528960_twitter,1185012057663528960_twitter,<number> women are trash,"['hatespeech', 'offensive']",offensive
8524204_gab,8524204_gab,great way to get rid of a retarded child,"['hatespeech', 'offensive']",offensive
7343514_gab,7343514_gab,it seems very dubious that all these arab looking immigrants are so well off in america they come from a land of nothingness if they can come up with enough capital to immigrate if they are that successful over there why would they immigrate,"['normal', 'offensive']",normal
19285155_gab,19285155_gab,was really great to tune out and not watch any ghetto thugs trash kneel and disrespect america,"['hatespeech', 'normal', 'offensive']",offensive
1178749736221908993_twitter,1178749736221908993_twitter,you all ever notice how white people and nonblack ppl who have done nothing to help black ppl get to a certain point try to demote black ppl success by using poc as an umbrella instead of just saying black sorry but this one for the niggers,['normal'],normal
1106594041435693057_twitter,1106594041435693057_twitter,anytime is see “ reform ” and “ islam ” in the same sentence i already know its gone be some bullsheet,['offensive'],offensive
11684884_gab,11684884_gab,i am a lying faggot that moves the goal post,['offensive'],offensive
1178528359518654464_twitter,1178528359518654464_twitter,<user> <user> <user> <user> i actually heard my self identified democrat white neighbors laughing about us wanting something for our vote they said candidates were pandering our problems can not be solved because we have too many we got all the welfare amnesty for illegal aliens because we are lazy etc,"['normal', 'offensive']",normal
19277676_gab,19277676_gab,blacks are only <number> of the u.s. population therefore black millionaires and billionaires like oprah samuel l jackson colin kaepernick and countless others confirm my point white america made these blacks extremely wealthy and yet sadly most millennial blacks believe the left lie that their opportunities for success are limited,"['normal', 'offensive']",offensive
1179000569140137984_twitter,1179000569140137984_twitter,<user> <user> <user> and trump calls africa shithole countries as a joke and he calls immigrants animals as a joke and he calls black people varmin as a joke you are no different neither is <user> go take a look at yourself in the mirror,"['normal', 'offensive']",normal
1224780718942949382_twitter,1224780718942949382_twitter,if you refer to your girl as your bitch when talking to others you haven ’ t got enough respect for her 🥴,"['normal', 'offensive']",offensive
1178975080438784000_twitter,1178975080438784000_twitter,<user> <user> cobalt os used in also sorts of technology renewables is just a part of the larger business africa continues to be raped byvthe west as it always has been,['normal'],normal
19712308_gab,19712308_gab,wow mind blown follow the white rabbit q,"['hatespeech', 'normal']",normal
19989377_gab,19989377_gab,you forgot faggots like azzmador and greg johnson,"['hatespeech', 'normal', 'offensive']",hatespeech
10417291_gab,10417291_gab,i never saw a chink pussy and do not plan on breaking that record 🖕 🙄 🖕,"['hatespeech', 'offensive']",offensive
1188322219149156352_twitter,1188322219149156352_twitter,a hoe w a kid lololol,"['normal', 'offensive']",offensive
17539744_gab,17539744_gab,the liberal retarded assholes in the canadian government do not like it when anyone speaks the truth,['offensive'],offensive
1178881144420323328_twitter,1178881144420323328_twitter,jus fucked this white bitch cuz fuck slavery and all that racist shit 🤣 🤣 😎 🤦 🏻 ‍ ♂️ 😈,"['normal', 'offensive']",offensive
1179093572156628994_twitter,1179093572156628994_twitter,<user> <user> what about the millions of endian hindus living abroad specially in muslim country gulf turkey indonesia should be treated like the same means thrown out from their countries,['normal'],normal
22090260_gab,22090260_gab,can e g asians only code in unicode due to the symbols if not how are they handling ascii,"['normal', 'offensive']",normal
8073987_gab,8073987_gab,swedish men are all silent as their woman are being raped to death by niggers,"['hatespeech', 'offensive']",offensive
1205456248797356033_twitter,1205456248797356033_twitter,<user> i dont give a fuck how muslims feel 😃 👌 🏻,"['hatespeech', 'offensive']",offensive
12879624_gab,12879624_gab,today citizens of calella near barcelona ask police staying at a local hotel to leave after the violence of the previous day police respond by attacking them,['normal'],normal
11940648_gab,11940648_gab,if some brown radiologist misreads one of latrina <number> crackbabie images everyone involved in the care could be sued by better call saul for the ghetto lottery even if everything they did was appropriate based off the brown rads mistake,"['hatespeech', 'offensive']",hatespeech
1185226206247116800_twitter,1185226206247116800_twitter,<user> <user> is your ultimate solution leading up to a final one nazis gonna nazi,"['normal', 'offensive']",normal
1179080060365676544_twitter,1179080060365676544_twitter,you are a pops hoe blunts this nigger fucking it,"['hatespeech', 'offensive']",hatespeech
2414219_gab,2414219_gab,it is a conspiracy theory retard <user>,['offensive'],offensive
15579832_gab,15579832_gab,if the kike population equalled the white one the number of jew assaulters would be <number> jews to <number> white ones,['hatespeech'],hatespeech
1179091464082644993_twitter,1179091464082644993_twitter,<user> <user> yeah twitter does not really allow for a monograph my purpose was more to interrogate the respectability politics of equating queer oppression to pride outfits,['normal'],normal
20104013_gab,20104013_gab,woman in charge of sandwell child services where paki moslem rape gangs are on the rise,['hatespeech'],hatespeech
21889545_gab,21889545_gab,this sappy little white nigger is about as creepy as they come,['hatespeech'],hatespeech
1216713290971303939_twitter,1216713290971303939_twitter,that <number> bouncer and the boys you jumped up little nazi fag you wont see him again case closed,['offensive'],offensive
8408673_gab,8408673_gab,the next white man are sympathetic logical black men since jews are already in,"['hatespeech', 'normal', 'offensive']",hatespeech
15090039_gab,15090039_gab,you can take affirmative action low iq hoodrats like maliaobama out of the ghetto but you can never take the ghetto out of the hoodrats,"['hatespeech', 'offensive']",hatespeech
16460769_gab,16460769_gab,they absolutely do everyone used to believe sweden was the best place in eu to go but there is not anywhere there you could pay me enough to go visit much less live most esp bc of the mudslimes socialism,"['hatespeech', 'offensive']",hatespeech
1189486679595204608_twitter,1189486679595204608_twitter,every women i have been with was inserted in my life to teach me something it seems,"['hatespeech', 'normal']",normal
1145823765240020992_twitter,1145823765240020992_twitter,antifa are the real nazis man,"['hatespeech', 'normal']",normal
12079360_gab,12079360_gab,what if the jews who convert to christianity kill jesus when he returns isnt that a concern for christians jews love killing jesus,"['normal', 'offensive']",offensive
1178499297903558657_twitter,1178499297903558657_twitter,<user> <user> <user> if jews are white and jews are also not white then there is no such thing as a jew because one thing cannot be another,['normal'],normal
1177423005623967745_twitter,1177423005623967745_twitter,ion expect a blunt a deal money help nothing from a nigga just show me the same love i showed and expect shit from me like you a bitch,['normal'],normal
1093057053755654144_twitter,1093057053755654144_twitter,i like my bitches brown skin amp dark skin can ’ t get with a light skin female 😂 😂,"['normal', 'offensive']",offensive
1105175976613416961_twitter,1105175976613416961_twitter,<user> have you seen the demisexual flag w the triangle i fucking hate it its like stolen holocaust symbology,"['hatespeech', 'normal']",hatespeech
1184932571412680712_twitter,1184932571412680712_twitter,<user> life a bitch and then you die that why we get high cause you never know when you are gonna go,['normal'],normal
15380856_gab,15380856_gab,do they have a lot of trannies over there i did not realize that oh well it nice to see fags btfo i can always agree with that which shitskin country has the entire class of gay eunuchs that live on the streets is it india i think it india,"['normal', 'offensive']",offensive
5966283_gab,5966283_gab,fuck trey gowdy and his cowboy hat mashed hair 😂 that faggot has been all talk from the beginning,['offensive'],offensive
23191613_gab,23191613_gab,does anyone actually give you shit about being gay in ireland i mean if you said you are conservative and gay and do not care who knows it i might understand the need to let that out but just being gay and liking sex that so <number> rofl,"['normal', 'offensive']",normal
4813870_gab,4813870_gab,everyone should be using duck duck go as a search engine they do not track you and they are not globalist queers ix quick is good too but their search results are not always that great you should also be using brave firefox or tor as a browser boycott silicon valley boycott globalism,['normal'],normal
3346655_gab,3346655_gab,maga speakfreely gabfam when will someone call american niggers out for being terrorists i bet if the nasty refugees had mall fights over christmas someone would have proposed a solution,['hatespeech'],hatespeech
26974167_gab,26974167_gab,why do normal civilized countries want to become retarded islamic nations,['offensive'],offensive
1178858512098713600_twitter,1178858512098713600_twitter,<user> <user> i always wondered why weidner acted like a faggot,['offensive'],offensive
1904515_gab,1904515_gab,i member when clinton said … you could put half of trump supporters into what i call the basket of deplorables the racist sexist homophobic xenophobic islamaphobic you name it and now trump supporters are all white supremacist nazis and trump is hitler reincarnated fud,"['normal', 'offensive']",normal
1179080459541721089_twitter,1179080459541721089_twitter,<user> what has happened to all of u faggots missing me i have lived in brighton for one week,['normal'],normal
1178665157213462528_twitter,1178665157213462528_twitter,i happily follow back all muslim brothers and sisters save liberals lgbt qadiani reformist feminazis and such mumbo jumbo pakistan haters takfiris who swear alot in tweets rest are most welcome esp aswj ❤ 😁,['normal'],normal
27365651_gab,27365651_gab,i bet the nigger didnt have a green card,"['hatespeech', 'offensive']",hatespeech
20188647_gab,20188647_gab,an endless stream of faggots and fakes to amuse and confuse you cut thru it teamwhite v teamjew if they are not white and anti jew they are teamjew it aint that hard,"['hatespeech', 'offensive']",hatespeech
