,id,example,label,positive
46,41,"RT Mitchellharri: Dont be a faggot, cover your mouth when you fkn cough or sneeze, I got a immune system to keep strong asshole",hate,1
47,569,RT Bayonettes: When you tweet som'n just for laughs &amp; a bitch wanna spoil the fun by getting Serious.. &#128530;&#128530; ,offensive,1
48,476,"damn I have nothing to tweet,nothing to complain or bitch about
): lol",offensive,1
49,127,Clan of retards...,hate,1
50,313,Even the birds think this waking up early thing is bunk. ,none,0
51,391,Charlie Baker for Mass Gov..the most lib newspaper in most lib state supports 'R' for Gov! DoG  via BostonGlobe,none,0
52,253,Lmfao RT NYDailyNews: The New York Yankees have won 27 World Series titles &#8211;&#160;the most of all-time.,none,0
53,12,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",hate,1
54,424,I only like women who&#8217;s pussy smell like burnt cheese,offensive,1
55,125,Gutierrez_Alf legit retard,hate,1
56,410,RT kingsleyyy: That look after you just put a bitch in their place ,offensive,1
57,430,yeah these valley faggots can go fuck themselves,offensive,1
58,435,"Talk alot of shit, but if I want ill put u on the spot so don't test me bitch!",offensive,1
59,536,RT estradax187: Money is the baddest bitch I know,offensive,1
60,304,They say one man's trash is the next man's treasure. Where one finds pain the next might find pleasure.,none,0
61,501,macktology101 for reals psycho ass bitch lol,offensive,1
62,581,b_shiznitt fuck you bitch,offensive,1
63,134,"Roses be red
Orchids be bigger 
Donts tell yo daddy
You fuckin a nigger 
#VDdie",hate,1
64,38,I'm seeing more &amp; more niggers migrating further up liberty rd... smh,hate,1
65,376,Casey Matthews is so trash this is BIG,none,0
66,397,I can't play flappy bird. It makes me angry.,none,0
67,553,"_DCorNothing_ KyariesDa4 he should! I got tired of hearing how he can eat pussy 10,000 ways like damn &#128514;&#128514;",offensive,1
68,153,Happy Columbus Day! Even #BillMaher likes #cocaine and #Columbus!!! What the fuck is wrong with you #liberals? Fuckin' #moron #retards....,hate,1
69,361,"RT scottvtracy: AbuYazidMuawiya amustafaanbari1 Congratulations for reinforcing the stereotype for insecure, uneducated, uncivilized, ba&#8230;",none,0
70,251,RT TheVoiceOfMiami: Miami* RT PacDaGoat: Houston has so many trash drivers,none,0
71,374,aurabogado el negro?,none,0
72,43,rickygervais BORING&amp;HACK allah and mohamed are also against fags.PLEASE mention them as well.did God take away your balls as punishment?,hate,1
73,180,"RT AnthonyBialy: Well, Maryland is just a bunch of hateful rednecks, anyway.",hate,1
74,396,I love me some chunky babies &#128525;&#128525;,none,0
75,238,"The Yankees are playing the tigers tonight. In other words, I am not friends with mtaraban.",none,0
76,118,DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga,hate,1
77,445,RT Yaremisxo: You hoes ain't worth losing sleep over,offensive,1
78,148,Watching the nigger movie Menace2society. Trying to learn more about the enemy. Good reconnaissance.,hate,1
79,146,elchavaloko who cares tbh ones a shitty dirty Argentino &amp; the other is a feather fisted nigger,hate,1
80,194,S_Roach happy birthday nicca do coon shit in a responsible way.,hate,1
81,74,joshgnf brana_nv define808 ironbjk mrjstn oh shut up faggot get a disease overused on twitter,hate,1
82,577,Big_Jim777 bitch,offensive,1
83,221,"DolfyAdolf 
Y'all gots betta machinery fo dat. Hanger be ghetto",none,0
84,167,bitchdicknigga you're a fucking nigger,hate,1
85,103,"Funniest yt comment I ever received was ""Niggers gonna nig *shrugs*"" .. lmao racist muthafucka caught me off guard",hate,1
86,131,"If a spic ever talks to a white person and the white person kills them, it's self defense.",hate,1
87,56,DIVERSITY: Chcgo Blck Pstr Flooded w/ Dth Threats Ovr Endorsement Of GOP Candidate: &#8220;U Sellout Uncle Tom Ass N*gger&#8221; ,hate,1
88,220,monkbent What's with that come-at-me-bro bird? Stressful.,none,0
89,524,"""XoXo__Angiee: Bruno fag boy"" you love me.",offensive,1
90,11,RT NoWomanIsRight: You can be a good girl all you want and those hoes still gonna get us niggas attention from time to time,hate,1
91,542,"Real shit. Now if the bitch want some grapes or something, THATS different.",offensive,1
92,123,Phillip Rivers look like he almost wants to call dude a nigger for that bad play,hate,1
93,92,#Dutch people who live outside of #NewYorkCity are all white trash.,hate,1
94,120,Most niccas broke but always n the limelight,hate,1
95,431,StephDaMARTIAN they made up endearing names for us like nigger spook &amp; monkey,offensive,1
96,94,My neighbors be sick when i wake um up to all this nigger music ctfu,hate,1
97,372,Don&#8217;t believe AP&#8217;s ho-hum tone: latest poll is great news for Republicans - Hot Air ,none,0
98,55,someones clearly a stinky ass beaner...,hate,1
99,320,"I was accused of never taking a full front face shot, so here is one. No slant or angle or nothing. :) ",none,0
100,17,ESPN keep hiring these dyke bitches and gay Spanish niggas to talk sports,hate,1
101,390,They got David taking out the trash &#128514;&#128514;&#128514;&#128514;,none,0
102,478,trash both ways lol RT AgdaCoroner: Bitch Killed Herself....Look Like Bill Maher With Makeup on ,offensive,1
103,174,Cute ass niggah. ,hate,1
104,497,RT LouieVRee: This bitch feet been through 20 years of slavery ,offensive,1
105,105,OVOtilUOverDose flossinlawson11 niggers*,hate,1
106,287,RT SeQuoia_Gabris: &#8220;UeonoYungJumbo: SeQuoia_Gabris yeah hoe!&#8221; But the babies are innocent lol so Gabriella still got her sister a birthd&#8230;,none,0
107,537,RT therealiman: The price of pussy in Toronto has now declined to one Henessey bottle and a quarter pounder combo with large fries.,offensive,1
108,249,"Stop Smokin' Bathsalt, Charlie Brown! #rejectedpeanutsspecials",none,0
109,270,Gonna shower for the sole purpose of shampooing my beard.,none,0
110,44,Matt_Petrie22 geta Life faggot,hate,1
111,60,"RT Bidenshairplugs: Anybody who trashes their own neighborhood after a perceived injustice is a fucking moron. 

#Ferguson",hate,1
112,332,"Who remembers when we were in middle school/high school and would throw paper in the trash from our seat and yell ""KOBE!"" Lmfaoooo",none,0
113,308,NotEvanLarkin bbcollins32 birds of a feather flock together y'all &#128037;&#128035;,none,0
114,267,Ain't no love in the ghetto &#128148;,none,0
115,248,"RT marksidaway: Last time #xfactor auditions came to Dublin, I auditioned MaryByrneMusic and NiallOfficial. And a man in a blue monkey s&#8230;",none,0
116,433,Hoes be like my niggas can't have no hoes... but that how he meet yo ass!,offensive,1
117,161,UberFacts studies show that you're a faggot,hate,1
118,271,"RT UberFacts: Mila Kunis has heterochromia iridum which gives her two different colored eyes. One eye is green, the other is brown.",none,0
119,375,RT ChamsFace4music: Early bird catches the worm people,none,0
120,404,Lol stop fuckin wit dem birds. RT Drako_713 Fuck y'all hoes all y'all do is lie,offensive,1
121,491,RT divonte_photos: Momma said no pussy cats inside of my dog house.,offensive,1
122,373,&#8220;BestOfAds: Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales  man wtf,none,0
123,483,RT ZitlalyL: You don't know maybe some bitches like a man in a tutu &#128514;&#128514;&#128054;,offensive,1
124,63,"karmendanielle_ u gotta slow down these coon hrs all they know is love n hip hop, lebron, &amp; fake love quotes",hate,1
125,98,delaney_guinan a faggot that needs to grow up,hate,1
126,159,"StarkFreeOrDie ...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass, closet racist, wannabe-commune-without-railroad state&gt; #Cali",hate,1
127,554,Fat bitches need love too I'll fuck em &#128175;&#128175;,offensive,1
128,557,if your trying out for Non-contact hockey dont call anyone else a pussy,offensive,1
129,309,"RT BaseballFact: At George Steinbrenner's first Yankees news conference, he said he wouldn't interfere in baseball decisions, promising ...",none,0
130,427,mel0_yell0w ain't that a bitch.,offensive,1
131,19,Punk ass broke faggots.,hate,1
132,580,quezada_carlos7. Right these hoes on my dick about u dats how,offensive,1
133,275,RT pambesteder: **WOW* according to this tweet by Tarascan68 Obama must have been an Uncle Tom? ,none,0
134,40,RT jasminee_gamboa: hoes will be hoes .,hate,1
135,355,I hear the birds in the summer breeze; I drive fast; I am alone at midnight.,none,0
136,208,"It's a plane, it's a bird, nah it's just me doing laps around the dam. Lol",none,0
137,29,RT InfidelAlie: Yay for America &amp; Israel... we put in more Jew Hating muslim trash into our government! pathetic &amp; sickening,hate,1
138,538,peteyhoti aubreykelson 'ell naw dogs run this bitch,offensive,1
139,587,deadass wanted the sauce till shit got real then niggas wanna back up ooh iight then smh pussy,offensive,1
140,421,Never tell a bitch that I love her,offensive,1
141,447,hi_imkadie I wouldn't know cause i don't fuck with these hoes,offensive,1
142,155,"sweetakin Only rich white liberals know what's best for black people. If they don't see that, they're obviously Uncle Toms.",hate,1
143,136,RT lildurk_: I don't fuck with bitch niggas I only fuck niggas bitches&#128556;,hate,1
144,388,#Yankees,none,0
145,469,jwill252 We got a win my nicca! Lmao,offensive,1
146,368,#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.,none,0
147,212,"RT PolitiBunny: #YesWeDid attack, harass, threaten, mock and bully any woman or minority who dared not fall in line with our progressive a&#8230;",none,0
148,504,RT CodeLez: You gotta know the difference between a good girl and good pussy,offensive,1
149,402,LobstrThinkTank but bitch nobody was wanting your ass. U assumed that cuz u let dogs run up in yo filth &amp; u think i want some of it...NOT!,offensive,1
150,579,Tylar____ xxJaiLynn Tylar shut up bitch . I usta make you these,offensive,1
151,254,slayerific13 daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.,none,0
152,261,RT earthWormSLIM: if melo go to the bulls they still gon be trash unless melo get special privileges allowin him 2play in a allstar uniform,none,0
153,114,"4 old hoes, a ponk, and a dyke outchea having ""girl talk""",hate,1
154,213,Cheers young lady RT shik702 BmoreHumble foreverrrr younnnnng *grabs flask and chugs*,none,0
155,280,"One of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" ",none,0
156,199,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",hate,1
157,380,them jants be clutch for bedtime tho &#128514;&#128557;,none,0
158,432,RT LaVidaJeannette: I hate when a bitch says she dont care if her nigga broke and he got nothing going for himself.. acting like a fake Ri&#8230;,offensive,1
159,152,Truth RT Adolfhibsta: Only a faggot would turn down hairy pussy,hate,1
160,437,#honestyhour we don't love these hoes,offensive,1
161,197,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",hate,1
162,462,Let me text my hoes gm or sumpin,offensive,1
163,349,"Also, it&#8217;s a hiccup to Jihadi propaganda: they portray themselves as the only ones willing to die for their cause.",none,0
164,494,These hoes soo &#127805;&#127936;,offensive,1
165,480,RT ikesizzle: RT ericajenee_: &#8220;_SheDAzzle: Ike finna have the bitter bitches upsaught&#8221; - and he don't care lmao | not at all,offensive,1
166,367,SteveWorks4You you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,none,0
167,575,chanelisabeth cuz ur a bird bitch,offensive,1
168,323,RT DragonBallDeez: *Atlanta RT PacDaGoat: Houston has so many trash drivers,none,0
169,86,Burn bitch ,hate,1
170,129,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",hate,1
171,406,"Do you expect me to be cute with you? Oh, hell no. I'm not a bitch, cuteness gets you planted in a relationship; a relationship you'll hate.",offensive,1
172,439,Nicki gottem MAD AS FUCK tho. However credit due to cassidy for the response he didn't diss nicki but killed you lookin ass bitches,offensive,1
173,492,So I keep cool but in the back of my mind I'm like did des hoes just come on my mf porch like ik dem,offensive,1
174,417,_lexisperez he ate my pussy i could..,offensive,1
175,559,b_shiznitt you lying bitch,offensive,1
176,80,"Bitch ass nigga, be hating on black women... Uncle Tom bitch punk.",hate,1
177,303,"RT EchelonInsights: Rick Scott beating win number in 30 counties, Charlie Crist in 13. #FLGOV",none,0
178,450,do bitches still love sosa? lmfaoooooooooooo,offensive,1
179,416,DarkLiquaNigga_ nigga grow some balls and concentrate pussy!!,offensive,1
180,85,sophhh_marie ugly emo trash go cut,hate,1
181,71,THERACISTDOCTOR One less little nigger that would grow up into a big nigger.,hate,1
182,407,Die twice bitch &#8220;DivaMonRoe2uHoE: Thank you. &#128536; &#8220;07Cannon: DivaMonRoe2uHoE you're the filthiest hoe of all time ,offensive,1
183,345,"I been to mushroom mountain
Once or twice but who's countin'
But nothin compares
To these blue &amp; yellow purple pills&#128156; ",none,0
184,121,RT librarianknight: More queer lady Templars. That's my point.,hate,1
185,169,"RT Tyler_Weddle_23: &#8220;Sexualgif: ""I hate that hoe already"" &#128514;&#128128;  &#128514;&#128514;&#128514; this shit cracks me up!",hate,1
186,574,This bitch needs to turn off her shitty music &#128544;,offensive,1
187,518,"I broke baby outta his thug stage n turned him into a pussy &#128514; , it was hard but I did it &#128129;&#128537; now he show more feelings than a lit bit",offensive,1
188,2,RT natal_mendoz: Whore slut cunt bitch nigga,hate,1
189,502,"She must not know I got over 3,000 followers breh this bitch gotta get the fuck up outta this VIP section dawg she decreasing my value",offensive,1
190,329,RT ProBirdRights: A marry between a man and woman people sloppery slop;then what is prevent a bird from marriage my sandwich??? I'm in lo&#8230;,none,0
191,555,I be joked out at half the broads on here that brag about how good they pussy/head game is...,offensive,1
192,138,America is white trash and so are all Americans.,hate,1
193,6,AndrewJBurns1 Tommy_Russell_ homo ass crackers,hate,1
194,205,85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? ,none,0
195,411,RT SLeyTMF: I aint nun to cut that bitch off,offensive,1
196,225,Abels_Masochist you're not ghetto tho. You can live in the hood and not be ghetto #facts,none,0
197,255,99 percent of the trash we dump in the sea is missing. This is not a good thing &#8594;  ,none,0
198,496,REAL NIGGA SPEAKING &#8220;DEON1093: PAPER_CHAYSIN you sound like a bitch&#8221;,offensive,1
199,486,RT IceTeaa__: The hoes yall chase want me &#128175;,offensive,1
200,196,RT XdalovelyTishai: Most of these niggas go broke for these hoes,hate,1
201,124,This nigga jerry room smell like bad pussy!&#128530;,hate,1
202,327,"lmaoooo RT ComedyTruth: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst.",none,0
203,14,SweetKixx u see a lame in that pic ofmine due to your infatuation with niggers. Im Hebrew i fite the children of satan in the streets,hate,1
204,112,CBSThisMorning charlierose racist NorahODonnell tx trash racist why wld u intvw MittRomney n ask racist questions itwas so disrespectful,hate,1
205,34,RT NerdAtCoolTable: RT RealSheemBacc: For every bad bitch there is a nigga who treats them like shit &amp; yet they stay..... I wanna ...,hate,1
206,242,Apple need to add some colored emoji,none,0
207,509,cristiannt_ nigga you beat who ass bitch we've never even fought so u need to stop making up shit and bring yo ass with them,offensive,1
208,233,"Do birds have dongs? How do they mate? Help me, I'm an adult who doesn't know how animal sex works!!!",none,0
209,32,"Pop a nigguh, sound like crisco",hate,1
210,335,SactownProidgy SpeakComedy yunglucy_ karon_avila I just noticed you guys called me a jiggaboo,none,0
211,168,Vanessa is such a fuckin faggot.,hate,1
212,45,"Gave her that ""move it lil nigger"" push smh.. ",hate,1
213,423,Bitches be like I want something real ... And I be like I want a bitch with real hair but we can't always get what we want now can we lol,offensive,1
214,218,"""EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",none,0
215,200,EXPOSED: Jihadi kidnap and murder handbook... and plan to infiltrate British Army and police  via wordpressdotcom,none,0
216,545,Where the hoes at ? We looking for the hoes AYEEE,offensive,1
217,434,RT _James_Kirby_: The bigger the hoops the bigger the hoe #jerryspringer #classic #truthhurts,offensive,1
218,57,JadeGreenleaf fag,hate,1
219,384,"RT weakenednachos: last thought before bed: in '92 we had a ""mock election"" in 3rd grade and i voted for Perot. maybe i related to his rea&#8230;",none,0
220,379,"RT SportsCenter: A WILD one in the Bronx.
Yankees score 6 runs in bottom of 7th to take 8-7 lead over Red Sox.
The half-inning took THIRTY&#8230;",none,0
221,102,OG_HARM moetzart duckydynamo look at this nigger ass nigger shit right here,hate,1
222,583,That bitch is corn fed,offensive,1
223,259,My mama made me some brownies they was everything &#128553;,none,0
224,276,Thinking bout those oysters at the gator bait tho&#128533;,none,0
225,190,"Eh bitch!? How about you worry about your own psychotic ass. Looks like you need to ""be saved"" from being a noisy bitch &#9996;&#65039;&#128139; #cantStandUcunt",hate,1
226,132,fucking CHRIST i hate tutors and TAs. you literally get paid to teach retards to stop picking their nose. GET THE FUCK OUTTA MY FACE,hate,1
227,517,RT Brucewayneakia: This is what the niggers dont like ,offensive,1
228,166,BossMelle never followed him ignorant monkey,hate,1
229,526,"I watched one and a bitch holding the camera said ""yall need to hurry up...my battery's about to die!"" NOOOOO!",offensive,1
230,223,I was in love with Charlie &#128553;,none,0
231,513,""" cancel that bitch like Nino """,offensive,1
232,588,These groupie bitches wild enough to suck a babies dick,offensive,1
233,392,TheLittleFella_ OLE_VertyBstard thereal_EMandM Justinrogo01 boooooooo that was trash,none,0
234,490,I gotta big head yah bitch I think it's crown sized,offensive,1
235,301,RT SuzanneEvans1: The Shocking True Stories Behind Your Favorite Classic Fairy Tales  via HuffPostBooks,none,0
236,463,"&#8220;FriendlyAssh0le: 5'3 200 lbs aint thick bitch, you a fucking warthog&#8221;&#128514;",offensive,1
237,187,I still think snap chat for faggots and High Schoolers,hate,1
238,285,Flyers4Cup boy I had no idea that was coming. It's called a smartphone. You're horrible at trash talk,none,0
239,457,"RT KillAllSimps: If this nigga Kanye took Kim K to Wendy's, this means y'all regular hoes don't deserve them $200 dates ",offensive,1
240,298,RT cwissi: beanies for life &#9697;&#776;&#8413; ,none,0
241,231,FuckKennyJ trash,none,0
242,596,Lmao look at these hoes RT RareHipHopPic: ,offensive,1
243,468,"RT SexTaIk: When you have a good girl, say no to hoes",offensive,1
244,385,segment finally did it. NEVER again watching #teabagger propaganda in the morning on #msnbc again. bpshow on #currenttv for me #morningjoe,none,0
245,403,Fuck all y'all hoes &#128567; gang shit &#128175;&#128175;,offensive,1
246,302,"after the steelers lost the superbowl i loaded up the black and yellow gmix on my moms computer, i think the youtube page is still open",none,0
247,128,"If you say any of the following words the convo is over: nigger, nigga, swag, yolo, fag, retard.",hate,1
248,365,imgooby you're not funny trash,none,0
249,104,georgiathenewsa you look like a welfare bitch compared to Latinas I date and fuck. You need fashion and makeup tips tbh,hate,1
250,262,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",none,0
251,341,"A white lighter is bad luck, not yellow ur stupid",none,0
252,157,JGardenofEden KySportsRadio ryanlemond But...country music listeners really are hicks and alcoholics &#128514;&#128514;,hate,1
253,382,RT camilleftansel: i've read the hunger games 12 times i am trash,none,0
254,319,SoWavyTee hey Hun!,none,0
255,293,Sooo my first aid/cpr certification came in handy tonight. Glad I didn't lose my monkey Bekkalina13,none,0
256,222,Praise thy lord for this season of beanies that is upon us,none,0
257,110,RT jjauthor: US ghettos-driven by liberal ideology; forged by unions &amp; bankrupted by self-serving Dems catering to parasites!#tcot ,hate,1
258,122,The #south of the US is white trash.,hate,1
259,393,RT dsrtvet: FoxNews tjoy7 And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&#8230;,none,0
260,336,RT kostaskarelis: Cincy fans talk trash about the city of #CLE and then root for the Cavs like they belong. #stillCLE #CLEallday #GoBrowns,none,0
261,338,This no beef thing is for the birds!!!,none,0
262,328,rasheedibrahim_ once it gets cold yall gonna be trash again lol,none,0
263,505,RT _MCBaybeh1218: Keep ur bitch on a leash .,offensive,1
264,426,"RT LessonswithKate: you got hoes, I got niggas.",offensive,1
265,357,IMNOTMAKINGITUP Hey u just followed me not long ago. Gonna nip that in da bud. like ur bio tho. U know the white devils stole our our,none,0
266,51,bitch you're white stfu with your shitty Spanish,hate,1
267,164,I knows y'all white folk only be playin wit me. I colored and I knows my place,hate,1
268,477,"DionPrimo The soul has departed from the train.There's no more soul in music.Just hunger for bitches,money and fame.",offensive,1
269,252,Jihadis circulating a video of the killing by Boko Haram of a Nigerian pilot captured after his helicopter was shoot down,none,0
270,597,Bad lil short fine bitch lil petite sumn,offensive,1
271,366,I'm hooked on monkey phonics.,none,0
272,387,No cuz redskins are dumpster juice RT trackinBlackKev: game of the week. still the best rivalry in sports,none,0
273,460,"I miss her but I can't bitch I was the one who fucked up, whatever",offensive,1
274,408,"RT Tahrell: Now, bitches gonna think just because they're married, they're better than every female that's not. Smh",offensive,1
275,181,"Niggas are so fucking gay... And they try to cancel it out by saying ""nah were bros it's cool"" nahhhhhaahahahaha you a faggot bruh",hate,1
276,441,"&#8220;itsDeSha__: I don't take people niggas bitches don't play about they niggas , specially they baby daddies &#128557;&#128514;&#128514;&#128514;&#8221;No BS",offensive,1
277,550,Oh my god oh my god.. I'm going to a bitch mob party today oh my god,offensive,1
278,47,RT jaymesshaylan: fuuck jalens a slow bitch!,hate,1
279,562,lilylovescamel auroraabartlett I like that your room isn't a big sloppy mess like most of these Twitter hoes,offensive,1
280,475,I'm a hoe for that &#128557;&#128557;&#128557;&#128557;&#128557;&#128514;&#128514;&#128514;&#128514;&#128514;,offensive,1
281,440,"RT skankymunter: Pissed in shower, now checking for yellow legs.",offensive,1
282,96,RT MANIAC3X: Buckm00se I'd rather be from a rancho then live in ghetto ass urban areas with niggers and nigger impersonators. Adopting ni&#8230;,hate,1
283,202,elchavaloko pinche panamonos negros me Dan asco,none,0
284,70,gvvenivere learn how to type ya hillbilly,hate,1
285,99,"You #football #nigga #KISS #ISIS #wifebeater #faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL #IslamNation, #YO&gt;",hate,1
286,381,"If you think that the term #redskins being offensive is a political issue, you are ignorant.",none,0
287,599,Get on your mutha fucking shit hoe.,offensive,1
288,418,I tell this bitch followback. She RTs me saying followback. Then doesn't followback. Blocked like fuck,offensive,1
289,84,Smh hate that hoe,hate,1
290,530,well i want to be Victoria's Secret dyke angel&#128124;&#128149;,offensive,1
291,317,You NEED an iPhone to use their stupid watch? Apple is just grabbing people ankles and shaking the money out of rubes pockets.,none,0
292,487,Horny mature babe in a kimono has her pussy fingered and&#160;fucked ,offensive,1
293,340,RT gojackets973: WesDurham its the start of another yellow jacket season tonight!!! How about a RT for ALL the Jacket Fans!!! #GTVT1 ...,none,0
294,3,Scandal: A Negro Bed Wench's Fairy-tale and propaganda:  via YouTube: A must see for Hebrew Daughters of Zion!,hate,1
295,170,coons,hate,1
296,175,Blackman38Tide lmfao go to bed whitey &#128129;,hate,1
297,61,you a pussy ass nigga and I know it nigga.,hate,1
298,316,RT Joan_Rivers: Charlie Sheen will star in a new sitcom as an anger management therapist. So what's next? Casey Anthony as the owner of ...,none,0
299,126,Why are some people such faggots? Like were you born that way or are you just that big of a douche bag.,hate,1
300,342,Too bad Brandon Lavergne isn't gonna have that vein spiked at Angola. #mickey,none,0
301,464,A hoe gone be a hoe they ain't &#128175;,offensive,1
302,77,"RT FaZeDedo: To the rejects who constantly call my house and are threatening to rape my mom, karma's a bitch. Rot in hell, faggots.",hate,1
303,273,"RT anitaphilmar: Fairy Fun - Losing her wings doesn't mean there aren't other ways to fly? #asmsg, #erotica #shortstory ",none,0
304,442,Niggas talk more than bitches these days,offensive,1
305,237,"RT 1goodlookingman: Bees won, Mets won, and the Yankees lost. It's a good day in baseball.",none,0
306,264,RT SullivanMcPig: If those Captcha pictures get any more fuzzy I'm going to need a bot to decipher them,none,0
307,198,"Fuckkkkk!!! My nig a g tho, he gonna come back",hate,1
308,528,Nower days the defenition of a bad bitch is how good her pussy is ?,offensive,1
309,178,"Just to get u mad go on your search bar on here and search up ""stupid niggers"" &amp; hop on somebodys head then mention me lol stonethegreat23",hate,1
